 Description,Coupon,Coupon Frequency,Maturity Date,Moody's Rating,S&P Rating,Expected Price,Expected Yield,Call Protected,Offering Period,Settlement Date,Attributes
"ELBA N Y CENT SCH   DIST GEN OBLIG BDS  SER. 2026","4.000","SEMI-ANNUAL","06/15/2032","--","AA","105.789","2.940","Yes","OPEN ORDER PERIOD","06/16/2026","CP SFP I C TE GO "
"WALLER CNTY TEX WTR CTL & IMPT DIST NO 3UNLTD TAX BDS SER.  2026","6.000","SEMI-ANNUAL","09/01/2032","NR","AA","114.084","3.450","Yes","OPEN ORDER PERIOD","06/25/2026","CP SFP I C TE GO "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","5.000","SEMI-ANNUAL","02/15/2033","--","AA","111.635","3.050","Yes","OPEN ORDER PERIOD","06/25/2026","CP SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.000","SEMI-ANNUAL","03/01/2033","--","AA","102.573","3.400","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2033","NR","AAA","112.154","2.980","Yes","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","CP SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2033","NR","AAA","112.154","2.980","Yes","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","CP SFP SKY N TE GO "
"GOLDMAN SACHS GROUP INC MTN","5.200","ANNUALLY","05/27/2033","A2","BBB+","100.000","5.200","No","UNTIL THU., 06/11 11:30 A.M. ET","06/15/2026","SFP "
"WEST HARTFORD CONN  GEN OBLIG BDS SER.  2026 A","5.000","SEMI-ANNUAL","06/01/2033","--","AAA","115.075","2.620","Yes","OPEN ORDER PERIOD","06/11/2026","CP SFP C TE GO "
"DEUTSCHE BK AG      NOTE","5.250","ANNUALLY","06/15/2033","A1","A","100.000","5.250","No","UNTIL WED, 06/10 @ 11:30 A.M. ET","06/15/2026","SFP "
"ELBA N Y CENT SCH   DIST GEN OBLIG BDS  SER. 2026","4.000","SEMI-ANNUAL","06/15/2033","--","AA","106.269","3.000","Yes","OPEN ORDER PERIOD","06/16/2026","CP SFP I C TE GO "
"BARCLAYS BANK PLC   MTN","5.350","ANNUALLY","06/16/2033","--","A+","100.000","5.350","No","UNTIL FRI, 06/12 @ 11:30 A.M. ET","06/16/2026","SFP "
"CELTIC BANK","4.500","MONTHLY","06/17/2033","--","--","100.000","4.500","No","N/A","06/18/2026","SFP FDIC SO SKY "
"FEDERAL HOME LOAN   BANKS BOND","5.000","SEMI-ANNUAL","12/16/2033","AA1","AA+","100.000","5.000","No","N/A","06/16/2026","SFP "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","5.000","SEMI-ANNUAL","02/15/2034","--","AA","112.759","3.110","Yes","OPEN ORDER PERIOD","06/25/2026","CP SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.000","SEMI-ANNUAL","03/01/2034","--","AA","102.225","3.480","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2034","NR","AAA","113.262","3.050","Yes","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","CP SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2034","NR","AAA","113.262","3.050","Yes","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","CP SFP SKY N TE GO "
"FEDERAL HOME LOAN   BANKS BOND","5.080","SEMI-ANNUAL","06/09/2034","AA1","AA+","100.000","5.080","No","N/A","06/09/2026","SFP "
"ELBA N Y CENT SCH   DIST GEN OBLIG BDS  SER. 2026","4.000","SEMI-ANNUAL","06/15/2034","--","AA","106.404","3.090","Yes","OPEN ORDER PERIOD","06/16/2026","CP SFP I C TE GO "
"CITIGROUP INC       SER G MTN","5.150","SEMI-ANNUAL","06/16/2034","--","BBB+","100.000","5.150","No","UNTIL FRI, 06/12 @ 11:30 A.M. ET","06/16/2026","SFP "
"WALLER CNTY TEX WTR CTL & IMPT DIST NO 3UNLTD TAX BDS SER.  2026","6.000","SEMI-ANNUAL","09/01/2034","NR","AA","113.014","3.630","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"FEDERAL FARM CR BKS BOND","4.860","SEMI-ANNUAL","12/05/2034","AA1","AA+","100.000","4.860","No","N/A","06/05/2026","SFP "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","5.000","SEMI-ANNUAL","02/15/2035","--","AA","113.407","3.210","Yes","OPEN ORDER PERIOD","06/25/2026","CP SFP C TE R "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2035","NR","AAA","114.117","3.130","Yes","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","CP SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2035","NR","AAA","114.117","3.130","Yes","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","CP SFP SKY N TE GO "
"FEDERAL FARM CR BKS BOND","5.050","SEMI-ANNUAL","06/04/2035","AA1","AA+","100.000","5.050","No","N/A","06/04/2026","SFP "
"WALLER CNTY TEX WTR CTL & IMPT DIST NO 3UNLTD TAX BDS SER.  2026","5.000","SEMI-ANNUAL","09/01/2035","NR","AA","107.007","3.720","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","5.000","SEMI-ANNUAL","02/15/2036","--","AA","112.683","3.300","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50 UNLTD TAX BDS SER.  2026","4.000","SEMI-ANNUAL","03/01/2036","--","AA","101.274","3.700","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2036","NR","AAA","113.385","3.220","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2036","NR","AAA","113.385","3.220","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"GOLDMAN SACHS GROUP INC MTN","5.400","ANNUALLY","05/27/2036","A2","BBB+","100.000","5.400","No","UNTIL THU., 06/11 11:30 A.M. ET","06/15/2026","SFP "
"WEST HARTFORD CONN  GEN OBLIG BDS SER.  2026 A","4.000","SEMI-ANNUAL","06/01/2036","--","AAA","107.483","2.940","No","OPEN ORDER PERIOD","06/11/2026","SFP C TE GO "
"FEDERAL HOME LOAN   BANKS BOND","5.090","SEMI-ANNUAL","06/04/2036","AA1","AA+","100.000","5.090","No","N/A","06/04/2026","SFP "
"JONESBORO STATE BANK","4.450","MONTHLY","06/05/2036","--","--","100.000","4.450","No","N/A","06/05/2026","SFP FDIC SO SKY "
"FEDERAL HOME LOAN   BANKS BOND","5.225","SEMI-ANNUAL","06/10/2036","AA1","AA+","100.000","5.225","No","N/A","06/10/2026","SFP "
"FEDERAL HOME LOAN   BANKS BOND","4.750","SEMI-ANNUAL","06/11/2036","AA1","AA+","100.000","4.750","No","N/A","06/11/2026","SFP "
"WELLS FARGO &CO     MTN","5.250","SEMI-ANNUAL","06/11/2036","A1","BBB+","100.000","5.250","No","UNTIL TUE., 06/09 @ 11:30 A.M. ET","06/11/2026","SFP "
"DEUTSCHE BK AG      NOTE","5.400","ANNUALLY","06/12/2036","A1","A","100.000","5.400","No","UNTIL WED, 06/10 @ 11:30 A.M. ET","06/12/2026","SFP "
"CITIGROUP INC       SER G MTN","5.350","SEMI-ANNUAL","06/16/2036","--","BBB+","100.000","5.350","No","UNTIL FRI, 06/12 @ 11:30 A.M. ET","06/16/2026","SFP "
"CELTIC BANK","4.500","MONTHLY","06/18/2036","--","--","100.000","4.500","No","N/A","06/18/2026","SFP FDIC SO SKY "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","5.000","SEMI-ANNUAL","02/15/2037","--","AA","111.886","3.400","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.000","SEMI-ANNUAL","03/01/2037","--","AA","100.718","3.830","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2037","NR","AAA","112.659","3.310","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2037","NR","AAA","112.659","3.310","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"WEST HARTFORD CONN  GEN OBLIG BDS SER.  2026 A","4.000","SEMI-ANNUAL","06/01/2037","--","AAA","106.677","3.050","No","OPEN ORDER PERIOD","06/11/2026","SFP C TE GO "
"ELBA N Y CENT SCH   DIST GEN OBLIG BDS  SER. 2026","4.000","SEMI-ANNUAL","06/15/2037","--","AA","103.744","3.460","No","OPEN ORDER PERIOD","06/16/2026","SFP I C TE GO "
"FEDERAL HOME LOAN   BANKS BOND","5.250","SEMI-ANNUAL","06/17/2037","AA1","AA+","100.000","5.250","No","N/A","06/17/2026","SFP "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","5.000","SEMI-ANNUAL","02/15/2038","--","AA","111.174","3.490","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2038","NR","AAA","111.938","3.400","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2038","NR","AAA","111.938","3.400","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"BANK OF AMER CORP   SER P MTN","5.550","SEMI-ANNUAL","06/08/2038","A1","A-","100.000","5.550","No","UNTIL THU, 06/04 @ 11:30 A.M. ET","06/08/2026","SFP "
"PROVINCETOWN MASS   GEN OBLIG MUN PURP  LN BDS SER. 2026","4.000","SEMI-ANNUAL","06/15/2038","--","AA+","105.728","3.260","No","OPEN ORDER PERIOD","06/17/2026","SFP C TE GO "
"ELBA N Y CENT SCH   DIST GEN OBLIG BDS  SER. 2026","4.000","SEMI-ANNUAL","06/15/2038","--","AA","102.618","3.620","No","OPEN ORDER PERIOD","06/16/2026","SFP I C TE GO "
"WALLER CNTY TEX WTR CTL & IMPT DIST NO 3UNLTD TAX BDS SER.  2026","4.000","SEMI-ANNUAL","09/01/2038","NR","AA","99.995","4.000","No","OPEN ORDER PERIOD","06/25/2026","I C TE GO "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","5.000","SEMI-ANNUAL","02/15/2039","--","AA","110.623","3.560","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.000","SEMI-ANNUAL","03/01/2039","--","AA","99.995","4.000","No","OPEN ORDER PERIOD","06/25/2026","I C TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2039","NR","AAA","111.302","3.480","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2039","NR","AAA","111.302","3.480","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"BURLINGTON CNTY N J COLLEGE BDS SER.    2026","4.000","SEMI-ANNUAL","03/01/2039","AA1","--","105.102","3.320","No","OPEN ORDER PERIOD","06/16/2026","SFP C TE GO "
"WEST HARTFORD CONN  GEN OBLIG BDS SER.  2026 A","4.000","SEMI-ANNUAL","06/01/2039","--","AAA","105.229","3.250","No","OPEN ORDER PERIOD","06/11/2026","SFP C TE GO "
"PROVINCETOWN MASS   GEN OBLIG MUN PURP  LN BDS SER. 2026","4.000","SEMI-ANNUAL","06/15/2039","--","AA+","104.615","3.400","No","OPEN ORDER PERIOD","06/17/2026","SFP C TE GO "
"ELBA N Y CENT SCH   DIST GEN OBLIG BDS  SER. 2026","4.000","SEMI-ANNUAL","06/15/2039","--","AA","101.506","3.780","No","OPEN ORDER PERIOD","06/16/2026","SFP I C TE GO "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","5.000","SEMI-ANNUAL","02/15/2040","--","AA","109.921","3.650","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.000","SEMI-ANNUAL","03/01/2040","--","AA","99.162","4.080","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"BURLINGTON CNTY N J COLLEGE BDS SER.    2026","4.000","SEMI-ANNUAL","03/01/2040","AA1","--","104.255","3.430","No","OPEN ORDER PERIOD","06/16/2026","SFP C TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2040","NR","AAA","110.670","3.560","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2040","NR","AAA","110.670","3.560","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"WEST HARTFORD CONN  GEN OBLIG BDS SER.  2026 A","4.000","SEMI-ANNUAL","06/01/2040","--","AAA","104.870","3.300","No","OPEN ORDER PERIOD","06/11/2026","SFP C TE GO "
"PROVINCETOWN MASS   GEN OBLIG MUN PURP  LN BDS SER. 2026","4.000","SEMI-ANNUAL","06/15/2040","--","AA+","103.986","3.480","No","OPEN ORDER PERIOD","06/17/2026","SFP C TE GO "
"ELBA N Y CENT SCH   DIST GEN OBLIG BDS  SER. 2026","4.000","SEMI-ANNUAL","06/15/2040","--","AA","100.818","3.880","No","OPEN ORDER PERIOD","06/16/2026","SFP I C TE GO "
"WALLER CNTY TEX WTR CTL & IMPT DIST NO 3UNLTD TAX BDS SER.  2026","4.000","SEMI-ANNUAL","09/01/2040","NR","AA","98.927","4.100","No","OPEN ORDER PERIOD","06/25/2026","I C TE GO "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","5.000","SEMI-ANNUAL","02/15/2041","--","AA","109.378","3.720","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2041","NR","AAA","110.120","3.630","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2041","NR","AAA","110.120","3.630","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"WEST HARTFORD CONN  GEN OBLIG BDS SER.  2026 A","4.000","SEMI-ANNUAL","06/01/2041","--","AAA","104.158","3.400","No","OPEN ORDER PERIOD","06/11/2026","SFP C TE GO "
"WELLS FARGO &CO     MTN","5.550","SEMI-ANNUAL","06/11/2041","A1","BBB+","100.000","5.550","No","UNTIL TUE., 06/09 @ 11:30 A.M. ET","06/11/2026","SFP "
"ROYAL BK CDA        MTN","5.550","ANNUALLY","06/12/2041","A1","--","100.000","5.550","No","UNTIL WED., 06/10 @ 11:30 A.M. ET","06/12/2026","SFP "
"PROVINCETOWN MASS   GEN OBLIG MUN PURP  LN BDS SER. 2026","4.000","SEMI-ANNUAL","06/15/2041","--","AA+","103.205","3.580","No","OPEN ORDER PERIOD","06/17/2026","SFP C TE GO "
"FEDERAL HOME LOAN   BANKS BOND","5.600","SEMI-ANNUAL","06/17/2041","--","--","100.000","5.600","No","N/A","06/17/2026","SFP "
"CITIGROUP INC       SER G MTN","5.600","SEMI-ANNUAL","06/17/2041","--","BBB+","100.000","5.600","No","UNTIL MON, 06/15 @ 11:30 A.M. ET","06/17/2026","SFP "
"DEUTSCHE BK AG      NOTE","5.750","ANNUALLY","06/17/2041","A1","A","100.000","5.750","No","UNTIL MON, 06/15 @ 11:30 A.M. ET","06/17/2026","SFP "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","4.000","SEMI-ANNUAL","02/15/2042","--","AA","99.996","4.000","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.125","SEMI-ANNUAL","03/01/2042","--","AA","99.253","4.190","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2042","NR","AAA","109.496","3.710","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2042","NR","AAA","109.496","3.710","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.125","SEMI-ANNUAL","09/01/2042","--","AA","99.586","4.160","No","OPEN ORDER PERIOD","06/30/2026","SFP I C TE R "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","4.000","SEMI-ANNUAL","02/15/2043","--","AA","99.394","4.050","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2043","NR","AAA","108.799","3.800","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2043","NR","AAA","108.799","3.800","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"WEST HARTFORD CONN  GEN OBLIG BDS SER.  2026 A","4.000","SEMI-ANNUAL","06/01/2043","--","AAA","102.819","3.590","No","OPEN ORDER PERIOD","06/11/2026","SFP C TE GO "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.250","SEMI-ANNUAL","09/01/2043","--","AA","99.994","4.250","No","OPEN ORDER PERIOD","06/30/2026","SFP I C TE R "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","4.000","SEMI-ANNUAL","02/15/2044","--","AA","98.748","4.100","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.250","SEMI-ANNUAL","03/01/2044","--","AA","98.648","4.360","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2044","NR","AAA","108.031","3.900","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2044","NR","AAA","108.031","3.900","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"WEST HARTFORD CONN  GEN OBLIG BDS SER.  2026 A","4.000","SEMI-ANNUAL","06/01/2044","--","AAA","102.053","3.700","No","OPEN ORDER PERIOD","06/11/2026","SFP C TE GO "
"WALLER CNTY TEX WTR CTL & IMPT DIST NO 3UNLTD TAX BDS SER.  2026","4.375","SEMI-ANNUAL","09/01/2044","NR","AA","99.683","4.400","No","OPEN ORDER PERIOD","06/25/2026","I C TE GO "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.250","SEMI-ANNUAL","09/01/2044","--","AA","99.368","4.300","No","OPEN ORDER PERIOD","06/30/2026","SFP I C TE R "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","4.125","SEMI-ANNUAL","02/15/2045","--","AA","98.905","4.210","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.375","SEMI-ANNUAL","03/01/2045","--","AA","98.924","4.460","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2045","NR","AAA","107.042","4.030","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2045","NR","AAA","107.042","4.030","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"WEST HARTFORD CONN  GEN OBLIG BDS SER.  2026 A","4.000","SEMI-ANNUAL","06/01/2045","--","AAA","101.157","3.830","No","OPEN ORDER PERIOD","06/11/2026","SFP C TE GO "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.375","SEMI-ANNUAL","09/01/2045","--","AA","99.673","4.400","No","OPEN ORDER PERIOD","06/30/2026","SFP I C TE R "
"NORTHLAKE TEX       COMBINATION TAX LTD SURP REV CTFS OBLIG SER. 2026","4.125","SEMI-ANNUAL","02/15/2046","--","AA","97.431","4.320","No","OPEN ORDER PERIOD","06/25/2026","SFP C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.500","SEMI-ANNUAL","03/01/2046","--","AA","99.348","4.550","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"TOWN OF FLOWER MOUND, TX, CERTIFICATES OF OBLIGATION        SERIES              2026","5.000","SEMI-ANNUAL","03/01/2046","NR","AAA","106.138","4.150","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"TOWN OF FLOWER MOUND, TX, GENERAL OBLIGATION IMPROVEMENT & REFUNDING BONDS SERIES 2026","5.000","SEMI-ANNUAL","03/01/2046","NR","AAA","106.138","4.150","No","UNTIL WEDNESDAY, 06/03 @ 11:30 A.M. ET","06/25/2026","SFP SKY N TE GO "
"FEDERAL HOME LOAN   BANKS BOND","5.700","SEMI-ANNUAL","06/15/2046","AA1","AA+","100.000","5.700","No","N/A","06/15/2026","SFP "
"CITIGROUP INC       SER G MTN","5.800","SEMI-ANNUAL","06/15/2046","--","BBB+","100.000","5.800","No","UNTIL THU, 06/11 @ 11:30 A.M. ET","06/15/2026","SFP "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.500","SEMI-ANNUAL","09/01/2046","--","AA","99.862","4.510","No","OPEN ORDER PERIOD","06/30/2026","SFP I C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.500","SEMI-ANNUAL","03/01/2047","--","AA","98.014","4.650","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.500","SEMI-ANNUAL","09/01/2047","--","AA","98.650","4.600","No","OPEN ORDER PERIOD","06/30/2026","SFP I C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.500","SEMI-ANNUAL","03/01/2048","--","AA","97.558","4.680","No","OPEN ORDER PERIOD","06/25/2026","SFP I C TE GO "
"WALLER CNTY TEX WTR CTL & IMPT DIST NO 3UNLTD TAX BDS SER.  2026","4.625","SEMI-ANNUAL","09/01/2048","NR","AA","98.560","4.730","No","OPEN ORDER PERIOD","06/25/2026","I C TE GO "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.500","SEMI-ANNUAL","09/01/2048","--","AA","98.204","4.630","No","OPEN ORDER PERIOD","06/30/2026","SFP I C TE R "
"HARRIS CNTY TEX WTR CTL & IMPT DIST NO  136 UNLTD TAX WTRWKSSWR SYS COMBINATION REV BDS SER. 2026","4.625","SEMI-ANNUAL","09/01/2049","--","AA","99.641","4.650","No","OPEN ORDER PERIOD","06/30/2026","SFP I C TE R "
"HARRIS CNTY TEX MUN UTIL DIST NO 50     UNLTD TAX BDS SER.  2026","4.500","SEMI-ANNUAL","03/01/2050","--","AA","97.154","4.700","No","OPEN ORDER PERIOD","06/25/2026","I C TE GO "
"DEUTSCHE BK AG      NOTE","6.000","ANNUALLY","06/12/2051","A1","A","100.000","6.000","No","UNTIL WED, 06/10 @ 11:30 A.M. ET","06/12/2026","SFP "
